English	Slang	Usage
Ghost	Pillar and Post	Looks like he’s seen a pillar [Thanks to Neil Gemmill]
Gin	Mother's Ruin	Another mothers would sit well.
Gin	Needle and Pin	I'll have a small needle and tonic.
Gin	Nose and Chin	I'll have a drop of nose and chin [Thanks to Philip Hart]
Gin	Thick & Thin	I enjoy a bit of thick and thin [Thanks to Beanage]
Gin	Vera Lynn	I'll have one more Vera before I hit the frog and toad. [Thanks to Mark Hamnett]
Girl	Cadbury Swirl	Come over here, me old Cadbury [Thanks to Jonathan Burroughs]
Girl	Twist and Twirl	She looks like a nice twist [Thanks to Alan Little]
Git (twit)	Strawberry Split	That bloke's a right strawberry [Thanks to Dennis Wise]
Gloves	Turtle Dove's	Where's me turtle dove's [Thanks to John Ioannou]
Go	Scapa Flow	Scapa! [Actually pronounced 'Scarper' - just one example of not being satisfied with the slang, they then mispronounce the word to thoroughly confuse everyone.  Robert Benoist sent me the following which I found interesting:  Scapa Floe was a Royal Naval base established in the 20th Century and famous for the scuttling of the German fleet in 1919 and a subsequent WW11 battle. Before 1919 it is doubtful whether anyone in the country let alone cockneys would have heard of it.

In Mayhew's London Labour and the London Poor (vol 3 1851) there is a chapter on Punch Talk (basically the slang language used by traveling Italian Punch and Judy men and entertainers). This slang contains both English and Italian roots. In Punch Talk "To get away quickly" e.g. from the police or authority is spoken and written as scarper. This comes from the Italian Scappare. Punch talk formed one of the roots of Polari which also incorporated rhyming slang and was used first by the east end street traders, and then the west end street traders, and finally by homosexuals in the 40's and 50's. There are almost as many Polari expressions currently used as there are rhyming slang. It is probable that after 1919 it was imagined that the word had originated in the rhyming slang after Scapa Floe but I think the evidence firmly points to its Italian Origins.]
Gob (mouth)	Gang and Mob	He's got a big gang [Thanks to Dave Connolly]
Good	Robin Hood	That sounds like it's robin [Thanks to Alan Little]
Gossip	Rex Mossop	What's the latest Rex, love? [Thanks to Rebecca Marks who tells me Rex is an Aussie sports commentator]
Grand (1000)	Bag of Sand	He owes me a bag [Thanks to Keith Cole]
Gravy	Army and Navy	Can I have some army for my mashed?
Greek	Bubble and Squeak	'E's not a bad bloke for a bubble. [Bubble and squeak is a uniquely British dish of fried mashed potatoes and something green (usually cabbage, but left over brussel sprouts work well).  Thanks to Mark Pearson]
Guts (stomach)	Newington Butts	Me Newingtons are playing me up. [Thanks to Mark Crowe and Martin McKerrell - Michael Faraday (the magnet fellow) born in Newington Butts, the area of London now known as the Elephant and Castle]
Gutter	Bread and Butter	Found him laying in the bread and butter. [Usually full slang expression is used]
Gym	Fatboy Slim	I’m going down to the fatboy [Fatboy Slim is a recording artist – thanks to Martin Rowe]
Haddock	Fanny Craddock	Fanny and chips for supper? [Thanks to Sparky James]
Hair	Barnet Fair	She must be going out - she's got her Barnet done.
Hair	Biffo the Bear	Me biffo’s not looking the best today [Biffo the Bear was on the cover of Beano from 1948 to 1974.  Thanks to Gillian White]
Hair	Bonney Fair	She's got beautiful shiny bonney.
Half (a pint)	Cow and Calf	I could use a cow and calf [Thanks to Nick Williams. He reports that there's a pub in Grenoside (near Sheffield) called the Cow and Calf]
Hand	St. Martins-Le-Grand	I had it in my St. Martins a minute ago [Thanks to Alan Little]
Hands	German Bands	Get your germans off my missus.
Hands	Jazz Bands	Get yer jazz bands off me [Thanks to Peter Norman]
Hat	Titfer (Tit for Tat)	Lovely titfer. [This one uses the first two words - probably because saying "lovely tit" proved awkward]
Head	Crust of Bread	Use your crust mate.
Head	Loaf of Bread	Don't just stand there - use your loaf.
Head (fellatio)	Blood Red	She likes to give blood. [Thanks to Kirk Whitworth]
Heart	Strawberry Tart	Me strawberry belongs to you [Thanks to John Curnow]
Hell	Gypsy Nell	My knee is giving me gyp today. [Thanks to Chris Webb]
Hemorrhoid	Clement Freud	Oooh, me clements! [Thanks to Ian Coppell]
Hemorrhoids	Emma Freuds	Me Emma's are playing me up. [Emma is a BBC DJ on Radio 1 - Thanks to Stuart Burgess & Gordon Leel]
Heroin	Vera Lynn	Goodbye Vera Lynn [from Pink Floyd – “Goodbye Vera Lynn.

I'm leaving you today" meaning I’m giving up heroin, written at that time for Gilmore.  Thanks to Joe Lovick for the slang and the references]
Hill	Jack and Jill	The store is up the jack. [See also Bill]
Hole	Drum Roll	Let's pop 'round to my drum (referring to someone's house). [Thanks to Dave Hughes]
Home	Pope in Rome	Let's pop 'round his pope and fetch him.
Host	Pillar and Post	Who’s the pillar and post for tonight? [Thanks to Dave]
Hot	Peas in a Pot	Don't touch that - it's bloody peasy.
House	Cat and Mouse	Went 'round to his cat to wake him up.
House	Mickey Mouse	I'm taking my missus to the mickey tonight. [Usually means a theatre rather than a residence]
Howler (mistake)	Robbie Fowler	I made a right Robbie yesterday [Thanks to John Revell – Robbie Fowler  plays for Liverpool]
Hymen	Bill Wyman	Virgin?  Don’t think so mate – not a bill in sight [Thanks to Benjamin Smith.  Bill Wyman is, of course, with the Rolling Stones and Benjamin reports he had a bit of a penchant for the younger cadburys]
Ice	Blind Mice	I'll have a Gold and Blind [Thanks to John Gibson]
Jacket	Desmond Hackett	He's sporting a new Desmond [Thanks to Chris Webb - Mr. Hackett is a renowned Daily Express sports reporter]
Jacket	Tennis Racquet	I bought a new tennis racquet [Thanks to Laura Clifford]
Jail	Bucket and Pail	One drink too many and I get seven days in the bucket.
Jail	Ginger Ale	'e's doing time in the ginger. [Thanks to Wendy Shaw]
Jeans	Harpers and Queens	He's sporting a new pair of harpers [Thanks to Neale Davison.  Harpers and Queen is a woman's magazine "Published in London for the World"]
Jeans	Runner Beans	How do you like me new runners [Thanks to Darren Foreman]
Jeans	Steve McQueens	Me new steves are a bit tight [Thanks to Mark Holmans]
Jew	Five to Two	If you're a fiver then today's your Sabbath.
Jew	Four by Two	He's not from around here - he's a four.
Jewellery	Tom Foolery	That bloke looks a flash, look at all his tom. [Thank the Peter Cotterell]
Jive	Duck and Dive	She can’t half duck and dive [Thanks to Podster]
Job	Corn on the Cob	'e can't afford it - 'e ain't got a corn [Thanks to Mike Smith]
Job	Dog's Knob	Me new motor is just the dog's knob [Thanks to Nick Williams]
Jock (Scot)	Sweaty Sock	There was an Englishman, an Irishman and a sweaty on a boat... [This term is usually derogatory. Thanks to Dave Brown]
Joke	Rum and Coke	Go on then, tell us another rum and coke [Thanks to Martin Hillier]
Joker	Double Yoker	Who's this double yoker [Thanks to Joel Glover]
Judge	Barnaby Rudge	I'm up in front of the Barnaby tomorrow morning.
Jugs (breasts)	Carpets and Rugs	That girls has a lovely set of carpets [Thanks to Benjamin Smith]
Kebab (shish kebab)	Phil Babb	Bloody hell, boys, I'm proper Oliver'd - anyone fancy a Phil? [Thanks to John Loveday]
Keen	Torvill and Dean	She's a bit torvill on my mate Barry [Thanks to Darryl Middleton]
Kettle	Hansel & Gretel	I put the Hansel on for a nice cup of Rosy [Thanks to Peter Robinson]
Key	Brenda Lee	Where’s me brenda’s? [Thanks to Nick Webster]
Key	Vivian Lee	Where's me Vivian? [Thanks to John Kitley]
Keys	Bruce Lee’s	Have you seen me brucies? [Thanks to Graham Cooper]
Keys	John Cleese	‘ave you seen me johns [Thanks to Mathew]
Keys	Knobbly Knees	Have you got your knobblies with you? [Thanks to Beeman]
Kidney	Bo Diddley	Me bo’s are giving me gyp [Thanks to Jay]
Kids	Dustbin Lids	A nice girl but too many dustbin's.
Kids	God Forbids	Couldn't hear a thing 'cause of all the Godfor's.
Kids	Saucepan Lids	I'm forever buy clothes for the saucepan lids [Thanks to Peter Cotterell - see also 'Yid']
Kids	Teapot Lids	I'm taking my little teapot to country.
Kids	Tin Lids	I can't put me foot down without stepping on one of the tin lids. [Thanks to Bernie Albert]
Kiss	Heavenly Bliss	C’mon me turtle, give us an ‘eavenly [Thanks to Rebecca Coonan]
Kiss	Hit and Miss	How about a bit of hit and miss [Thanks to Doosh]
Knackered (tired)	Cream Crackered	I'm cream crackered, mate. [Thanks to David Carruthers]
Knackered (tired)	Kerry Packer	I'm right Kerry'd [Thanks to David Bennett - Kerry Packer is an Australian media magnate (and bleeding rich!)]
Knackers (testicles)	Jacobs Crackers	That toe-rag kicked me in the Jacobs [Thanks to Bryan Rayner]
Knees	Biscuits and Cheese	I've been on my biscuits all day.
Knickers	Alan Whickers	The 'lastics gone in me alans. [Alan Whicker used to host a TV programme called Whickers World - Thanks to Peter Cotterell]
Knob (penis)	Uncle Bob	‘e’s a bit proud of his Uncle Bob [Thanks to “the boys at CHS”]
Kraut (German)	Rainbow Trout	Bloody rainbows beat us at football last night! [Thanks to Alex Gordon]
Lager	Forsythe Saga	Mines a forsythe [Thanks to Den Frankham]
Lager	Mick Jagger	How about a couple of Mick Jaggers over here? [Thanks to Colin Reid]
Lark (fun)	Tufnell Park	Always one for a tufnell [Thanks to Michael Mundy]
Late	Cilla Black	You’re a bit Cilla today, mate [Thanks to Justyn Olby who explains that this comes from Cilla Black’s Blind Date TV programme that was popular]
Late	Terry Waite	You’re a bit Terry Waite [Thanks to Paul Woodford]
Later	Baked Potato	I'll see ya baked. [Thanks to Eric Van Zanten]
Later	Christian Slater	See you Christian Slater [Thanks to Kris Grissom]
Laugh	Bubble Bath	You're 'avin a bubble aren't ya? [Thanks to Neil Churchard]
Laugh	Cows Calf	Your having a cows calf, ain't you [Thanks to Graham Todd]
Laugh	Giraffe	You're havin' a giraffe, mate. [Thanks to Ed Balch]
Laugh	Steffi Graf	You're having a Steffi [Thanks to Peter Grewal]
Laugh	Turkish Bath	He's havin' a turkish. [Thanks to Chris Baylis]
Laugh	Wally's Scarf	He's having a wally [Thanks to Keith Cole]
Legs	Bacon and Eggs	Lovely set of bacons [James Robinson notes that this can be Ham & Eggs as well].
Legs	Dolly Pegs	'ave a butchers at the dollies on 'er [This comes from the old style wooden clothes pegs that little girls used to draw faces on and make little dresses and hats/hair for, hence the dolly peg. Thanks to Simon]
Legs	Mumbley Pegs	Stand on your own mumbleys [Thanks to Sanor]
Legs	Nutmegs	He was nutmegged [this is a common football term for when the ball is kicked between an opponents legs and then the other player runs around to get control of the ball again – thanks to Allen Keep]
Legs	Pins and Pegs	I was so surprised I nearly fell off me pins [Thanks to Sparky James]
Legs	Scotch Pegs	Sit down and take a load off your pegs. [For whatever reason, the common usage is the rhyming word rather than the first]
Leicester Square	Euan Blair	We're getting off the train at Euan Blair station [Thanks to Vix.  Mark points out that Euan Blair (Prime minister's underage son) was found drunk by police in Leicester Square earlier this year.  Hence the slang.]
Lesbian	West End Thespian	She's a lovely girl but she is west end, you know. [Thanks to Richard English]
Liar	Bob Cryer	Shut up you Bob - yer talking out yer aris [Sergeant Bob Cryer is a character in "The Bill". Thanks to Kelly Webb]
Liar	Dunlop Tyre	‘e’s a bit of a dunlop [Thanks to Donald Burk]
Liar	Holy Friar	‘e’s a bit of a holy friar [Thanks to Donald Burk]
Lies	Pork Pies	Blimey - he gets two pigs (beers) in him and he starts telling porkies.
Life	Nelly Duff	Not on your nelly, mate.  [The expression 'not on your nelly', meaning 'not on your life' (meaning that the person would never do something), is from Nelly Duff which rhymes with puff which means breath which is another way of saying life...  convoluted little devil, isn't it?  From everything I researched it would seem Nelly Duff was a fictional character but this is not certain.  Thanks to Cathleen Kelly]
Life (term)	Porridge Knife	'e's doing a stay in the porridge. [Thanks to Alan Morgan]
Liver	Cheerful Giver	Lovely - cheerful for dinner tonight. [Mike King has written to say that he that the slang for liver comes from "The Lord loves a cheerful giver", which was then shortened to Lord... Lovely - we're have the Lord for dinner tonight.]
Liver	Swanee River	We're having swanee for dinner again? [Thanks to John Gibson who actually heard this in an interview with Ian Drury who, talking about his colon cancer, said, "... it's in me swanee now".]
Lodger	Artful Dodger	She's taken in an artful to help pay the way.
Look	Butcher's Hook	Here - take a butcher's at this.
Look	Captain Cook	I just went over there for a captain [Thanks to Ashleigh Mills]
Loot (money)	Fibre of your fabric	C'mon, let me feel the fibre of your fabric [Thanks to Olli Black - fabric=suit=loot]
Lot (Serving or share)	Hopping Pot	That's your hopping mate. [Meaning, that's all you get. Thanks to James Vosper who says that this may have originated with Londoners who traveled to Kent and other districts to gather hops for beer]
Love	Turtle Dove	All right me old turtle [Thanks to Vince Scott]
Luck	Donald Duck	How's your Donald? [Thanks to Charly Large]
Luck	Friar Tuck	'E always had a bit of friar tuck. [Thanks to Martyn Tracy]
Mad	Mum and Dad	He's a bit mum and dad. [Thanks to Louis and Natalie Brinks]
Marriage	Horse and Carriage	e's off to his 'orse and carriage [Thanks to Emma]
Married	Cash and Carried	Poor bloke got cashed on the weekend.
Matches	Cuts and Scratches	Do you have any cuts?
Mate	China Plate	How are you, my old china?
Mate	Garden Gate	He’s an old garden gate from school [Thanks to Martin Hillier]
Meetin' (meeting)	Buster Keaton	We'll see you at the Buster [Thanks to Kris Grissom]
Mental	Radio Rental	He's a bit radio [Thanks to Louis and Natalie Brinks]
Mental (crazy)	Chicken Oriental	It was chicken oriental down the nuclear on Friday night [Thanks to Phil Vondra]
Merry	Tom and Jerry	E’s a tommy bloke [Thanks to Sparky James]
Mess	Elliot Ness	My drum's a right Elliot [Thanks to Nick Williams]
Milk	Acker Bilk	Would you like Acker in your coffee? [Thanks to Barry Greenaway. Acker Bilk (born Bernard Stanley Bilk) was born in 1929 is a master of the clarinet and leader of the Paramount Jazz Band. Interestingly, his nickname Acker is a Somerset term meaning friend or mate]
Mind	Chinese Blind	You're out of you little chinese mate. [Thanks to Danny O'Sullivan]
Miss	Cuddle and Kiss	She's a cute little cuddle.
Missus (Mrs)	Love and Kisses	Where did your love and kisses go? [Thanks to Alan Little]
Missus (Mrs)	Plates and Dishes	How's the plates getting on then? [Thanks to Alan Little]
Money	Bees and Honey	Can't go in there without any bees.
Money	Bread and Honey	Let's drink with him - he's got bread. [This one has enjoyed very common usage]
Money	Bugs Bunny	I've got some Bugs bunny in me sky rocket and I'm off down the rub-a-dub-dub. [Thanks to Nigel Ritson]
Motor (car)	Haddock and Bloater	I’ve gone and locked me keys in the haddock [Thanks to Alistair Steadman]
Mouth	North and South	I gave him a punch up the north.
Mug (chump)	Toby Jug	I'm tired of people taking me for a toby [Thanks to Roger Gillespie]
Neck	Bushel and Peck	He's got a bushel like tree trunk.
Neck	Gregory Peck	Wind you Gregory in [Thanks to Graham Todd]
Nerves	West Ham Reserves	e's got a bad case of the West Ham's [Thanks to Martin Elliot]
News	Wooden Pews	Did you catch the wooden pews yesterday [Thanks to LO]
Nick (prison)	Shovel and Pick	He's spending a bit of time in the shovel. [Thanks to John Butt]
Nightmare	Lionel Blaire	I'm havin' a right lionel [Lionel Blaire is a performer. Thanks to Jonathan Harris]
Nightmare	Weston-Super-Mare	Went for an interview yesterday - it was a total Weston-Super [Weston Super Mare is the main coastal resort of North Somerset. Thanks to Christian Martinsen]
Nipple	Raspberry Ripple	Look at the thup'neys on her, raspberries like cigar buts! [Can also mean cripple. Thanks to Dave Brown]
Nippy (cold)	George and Zippy	It’s a bit George [Thanks to Sam Murray – Eli Davenport reports that George & Zippy are from an old BBC kids show called Rainbow]
Noise	Box of Toys	Hold your box - they can hear you miles away!
Nose	Fireman's Hose	Look at the size of his fireman's [Thanks to Keith Cole]
Nose	Fray Bentos	Look at the Fray Bentos on that poor sod [Fray Bentos is a maker of a fabulous Steak & Kidney Pie (and other treats).  Thanks to Ray Wells]
Nose	I Suppose	That rotten drunk gave me a clip on me I suppose.
Nose	Irish Rose	She gave me a kiss on my Irish.
Nun	Current Bun	My meanest teachers were currents [Thanks to Aziz McMahon]
Nutter (crazy)	Roll and Butter	That blokes a bloody roland [Like titfer meaning hat, this expression uses the first two words rather than just the first.  Thanks to Rhian]
Off (take off, leave)	Frank Bough	I'm gonna do the Frank [see 'scoff'.  Frank Bough was a television personality - Thanks to Tom Kimber]
Old Man (Father or Husband)	Pot and Pan	I was talking to me old pot just yesterday. [Thanks to Bernie Albert and Colin]
On My Own	Toblerone	He's over there on his toblerone [Thanks to Laura Clifford
Out of Order	Allan Border	He's bang Allan [used when someone does something to another person that is not looked upon favourably. Allan Border was the Australian cricket captain in the late 80's/early 90's so we now have our first example of international rhyming slang.]
Paddy	Tea Caddy	Did you know Kevin is a tea caddy? [Thanks to Kevin Moynihan]
Pager	John Major	Me John Major’s just gone off [Thanks to Ian Nelson]
Pakistani	Bacon Sarnie	They've hired a new bloke at the shop - he's a bacon [Thanks to Nathaniel Espino. Sarnie is a slang term for sandwich (and if you haven't eaten a cold bacon sandwich you haven't lived. Nathaniel notes that this expression may be considered offensive]
Pakistani	Reg Varney	Martin's new bird's a Reg [Thanks to Jonny Morris. Reg played Stan Butler on 'On the Buses', one of the 1970's BritComs]
Pants	Adam Ant	Get your adam’s on [Thanks to Mike Leith]
Pants	Surrey & Hants	Blimey, I have no clean surreys [Thanks to Oliver Dick]
Paper (newspaper)	Linen Draper	Has the morning linen come yet?
Parcel	Elephant and Castle	Wot you got ‘ere then, a bleedin’ elephant [Thanks to Paul Island]
Park	Noah's Ark	I'm taking my misses to the Noah.
Party	Moriarty	Mental morry mate [Thanks to Simon Mahon]
Party	Russell Harty	I've phoned for a sherbert to take us to the Russell [Thanks to Jo Walker - Russell Harty is a TV host]]
Peas	John Cleese	Eat yer John Cleese - they're good for you [Thank to Mike Leith]
Peas	Knobbly Knees	We’re havin’ sexton and knobblies [Thanks to Mathew]
Pee	Gypsy Rose Lee	I’m off for a gypsy [Thanks to John Trimmer]
Pest	Fred West	Here comes that Fred West again [Fred West was and alleged mass murderer found hanged in his jail sail in 1995.  Thanks to Kevin Wade]
Tonic	Philharmonic	I'll have a Vera and Phil (gin and tonic) [Thanks to Michael Hawkins]
Phone	Al Capone	He’s always on the al capone [Thanks to Mike Agnes]
Phone	Dog and Bone	She's always on the dog.
Piano	Joanna	He sparkles on the joanna. [Just to confuse you, they mispronounce the word you're trying say, so instead of 'piano' they call it a 'piana']
Pictures	Dolly Mixtures	Going out to the Dolly Mixtures tonight [Thanks to Philip Hart - Dolly Mixtures are ]
Piddle (urinate)	Jimmy Riddle	I've had three pints - I could use a jimmy.
Piles	Nuremberg Trials	Me Nuremberg's are really playing me up [Thanks to Barry Greenaway]
Piles (hemorrhoids)	Chalfont St Giles	Me chalfonts are playing up. [Thanks to Paul Costello]
Piles (hemorrhoids)	Farmer Giles	Blimey, I ain't 'alf suffering from me farmers [Thanks to David Hughes]
Piles (hemorrhoids)	Nobby Stiles	Me nobbies are acting up again [Nobby Stiles was a great footballer from years gone by - Thanks to David Hughes]
Piles (hemorrhoids)	Rockford Files	Me Jim Rockford's are giving me gip! [Jim Rockford was the central character in the TV show The Rockford Files. Thanks to Paul Darbyshire]
Piles (hemorrhoids)	Sieg Heils	I'll stand if you don't mind - me sieg heils are acting up today.
Piles (hemorrhoids)	Slay 'em in the aisles	Me slay 'ems are playing me up. [Thanks to Stuart Burgess & Gordon Leel]
Pill (birth control)	Jack and Jill	She's on the Jack [Thanks to Justyn Olby]
Pillow	Weeping Willow	'ere. Get yer head off my weeping willow [Thanks to Graham Allen]
Pill	Strawberry Hill	I must remember to take my strawberry tonight [Thanks to Jonathan Wills]
Pills	Jack 'n Jills	Where's me Jack n Jills [Thanks to Brian Kemp]
Pills	Mick Mills	‘e’s always ‘ad a weakness for the Mick Mills [Thanks to Phil Woodford.  Mick Mills played for Ipswich in the ‘70s]
Pinch (steal)	Half Inch	Someone's half-inched me pint! [Thanks to Mark Schofield]
Pipe	Cherry Ripe	He does a cherry [Cherry Ripe is an Australian chocolate bar - although this may be Aussie slang rather than Cockney I've included it since I've received so many submissions for it.  Thanks to Ben Murphy et al]
Piss	Arthur Bliss	I'm just popping out for an Arthur [Arthur Bliss was a famous English composer (1891-1975). Thanks to Robert Harper]
Piss	Gypsy's Kiss	Blimey - no more beer till I've 'ad a gypsy's.
Piss	Hit and Miss	I've got to have a hit before we go out.
Piss (Make fun of)	Mickey Bliss	He’s always taking the mickey out of someone [Mickey is short for a mythical 'Mickey Bliss,' providing the rhyme for 'piss and has been in widespread use since the late 1940s. The original idea was that of deflating someone, recalling the description of a self-important blusterer as 'all piss and wind.'  Thanks to Brown Terriers]
Pissed (angry)	Hit List	I'm really hit today [Thanks to Michael G]
Pissed (drunk)	Brahms and Liszt	He's well Brahms and Liszt , don't give him any more to drink. [Thanks to Ray Davis.  Sometimes the expression "Mozart & Liszt is used.]
Pissed (drunk)	Oliver Twist	I 'ad one over the eight last night and got completely Olivered. [Thanks to Peter Cotterell]
Pissed (drunk)	Schindlers List	I'm a bit schindlers after a too many forsythes [Thanks to Den Frankham]
Pissed (drunk)	Scotch Mist	'e was completely scotch mist last night. [Thanks to Alan Little. Thanks to Marie Gordon for the example of usage.]
Plate	Alexander the Great	Don’t try and scarper before you’ve washed those alexanders [Thanks to Paul Island]
Play	Grass & Hay	Let's grass and hay down the park [Thanks to Oliver Nunn]
Pocket	Lucy Locket	Keep it in your Lucy.
Pocket	Sky Rocket	I've got nothing in my skies.
Poof (homosexual)	Iron Hoof	He's a bit of an iron. [Also Horses Hoof]
Poof (homosexual)	Tin Roof	I think he might be a tin roof [Thanks to Kron]
Porn	Frankie Vaughan	Is there any Frankie on the telly tonight? [Thanks to Jason Rankin]
Porn	Johnny Vaughn	I enjoy a bit of Johnny [Johnny Vaughn was the star of The Big Breakfast – thanks to Dan Longhurst]
Powder (cocaine)	Nikki Lauder	He's off doing a bit of Nikki [Thanks to Jim Smith)
Prat (arse)	Paper Hat	He's a bit of a paper [Thanks to Justin Semmens]
Prayer	Weavers' Chair	Haven't got a weaver's of getting into her alans. [Thanks to Cormac Kennedy. A weaver's chair has a low profile back allowing free movement of the arms.]
Prick	Hampton Wick	He gets on my wick. [Don't even try to understand this one - just accept it]
Pride	Jekyll and Hyde	You lost your jekyll or something? [Thanks to Joe Mills]
Prison	Boom and Mizzen	'e's off to the boom for a bit. [Thanks to Mike Shepherd]
Pub	Nuclear Sub	I'll meet you down the nuclear at 5 o'clock [Thanks to Robert Lynch]
Pub	Rub-a-dub-dub	I'm off to the rub-a-dub-dub. [Comes from the children's rhyme Rub-a-dub-dub, three men in a tub...]
Pube (pubic hair)	Rubric's Cube	When your having a shower make sure you wash your rubric's [Thanks to Andrew Turner]
Puff (marijuana)	Mickey Duff	Here, mate. Got any Mickey? [Thanks to Nortsqaf2]
Punter (gambler or odds maker)	Hillman Hunter	‘ere comes another load of Hillmans [the Hillman was a fine auto introduced in 1966.  Thanks to Steve Trice]
Purse	Gypsy's Curse	Someone's alf-inched me gypsy [Thanks to Martin Grove]
Quarter	Farmers Daughter	My Nan want me to get her three farmers of rosie (3/4 lb of tea) [Thanks to Peter Summersgill]
Queen (homosexual)	Torvill & Dean	He’s a right old torvill [Thanks to Tony Johnson]
Queer (homosexual)	Brighton Pier	That blokes a bit of a Brighton [Thanks to S. Sexton]
Queer (homosexual)	Ginger Beer	He's a bit ginger [Thanks to Steve Robinson.  See Queer (odd) below]
Queer (homosexual)	King Lear	e's a bit King Lear. [Thanks to Leslie Munday]
Queer (odd)	Ginger Beer	I don't know about that - sounds a bit ginger.  [Heard from Chris and Colin who have heard the expression "very glass", meaning very strange (from Glass of Beer), based on this rhyme.  Also, see Queer (homosexual) above]
Quid	Bin Lid	Lend us a bin [Thanks to Richard Hall]
Quid	Teapot Lid	I'm down a teapot already.
Rail	Toby Ale	'e's traveling by toby.
Railway Guard	Christmas Card	Look out for the christmas [Thanks to Sparky James]
Rain	Pleasure and Pain	Any more pleasure and we'll be swimming.
Rave (dance)	Comedy Dave	You coming to the comedy? [Comedy Dave is a Radio 1 DJ – Thanks to Hefin Gill]
Readies (pound notes)	Nelson Eddy's	'e's got a pile of nelsons! [Thanks to Julia Jones]
Rent	Burton on Trent	They've raised my burton again.
Rent	Clark Kent	I'm having a tough time coming up with me Clark [Thanks to Richard Robinson]
Rent	Duke of Kent	I can't afford to pay the Duke of Kent this week [Thanks to Mike Smith]
Rich	Scratch & Itch	'e's got scratch [Thanks to Richard Lee]
Right	Isle of Wight	Down the High Road to the lights and make an Isle. [Thanks to Daniel Maurer.  Also seen used as slang for "all right" but not in common usage]
River	Shake and Shiver	He jumped right into the shake [Thanks to Alan Little]
Road	Frog and Toad	Don't ride your bike on the frog. [See Road = Kermit]
Road	Kermit	'e took off down the kermit. [From Kermit the Frog = frog and toad = road. Thanks to Gavin Wallace]
Rotten	Dot Cotton	I’m feeling a bit dot [Dot Cotton is a character from Eastenders – thanks to Rachel Walmsley]
Row (argument)	Barn Owl	Went up to the dole office today. 'Ad a bit of a barney with the geezer behind the desk. [Thanks to Peter Cotterell][[Not satisfied with the slang, the word is extended to 'Barney' to thoroughly confuse everyone]
Row (argument)	Bull and Cow	Had a right bull with my misses last night.
Rum	Tom Thumb	A wee bit of Tom and I'm off.
Sack (fired)	Tin Tack	He got the tin tack the other day [Thanks to Duncan Whitesmith]
Saloon Bar	Balloon Car	I'll be at the balloon.
Sauce	Dead Horse	Pass the dead horse [Thanks to Brad Spencer]
Scar	Mars Bar	I fell down the apple and pears trying to answer the dog & bone, hit my head and ended up with a mars bar [Thanks to David Bancroft]
Scoff (food)	Frank Bough	I’m going to get some frank [see 'off'.  Frank Bough  was a television personality – thanks to Martin Brewer]
Score	Bobby Moore	You know the Bobby [Bobby Moore was a great footballer who died in 1993. Thanks to Graham Todd]
Score	Hampden Roar	You know the hampden [Thanks to Andrew Mkandawire who goes on to explain that the Hampden Roar is is a commonly used term that refers to the noise made when fans cheer on Scotland at Hampden Park]
Score (£20)	Apple Core	I gave me last apple to that old paraffin [Thanks to Kevin Moynihan]
Scotch	Gold Watch	I'll have a gold watch and ten [Thanks to Del Sinnott]
Scotch	Pimple and Botch	He enjoys a good pimple.
Scotch (Whisky)	Gold Watch	'E enjoys his gold watch [Thanks to Martyn Tracy]
Scouser (Liverpudlian)	Mickey Mouser	'E's a mickey mouser [Refers to someone from Liverpool.  Thanks to César Lozano]
Scouts	Brussel Sprouts	He's always been a brussel.
Scran (food)	Jackie Chan	I’m Hank Marvin.  I could use some top Jackie for me Michael Winner [Thanks to Simon Rowan]
Sex	Posh ‘n Becks	Had a bit of posh with the missus last night [Thanks to Iain Sisson– Posh refers to Posh Spice (Victoria Adams) of the Spice Girls while Becks refers to David Beckham, the famous footballer she married.  Another example of Rhyming Slang evolving to reflect the times.  See also Decks - Posh ‘n Becks]
Shabby	Westminster Abbey	He's turned out a bit westminster today [Thanks to Sparky James]
Shag	Billy Bragg	He's off for a billy [Billy Bragg is a singer/songwriter.  Thanks to Robert Christian]
Shank (golf term)	J. R.	You really JR'd that one mate.  [Abbreviated reference to J. Arthur Rank.  In golf, a shank is a ball that goes in a decidedly unexpected direction.  Thanks to Bern Summers]
Shave	Chas and Dave	I'm off for a chas [Thanks to Conor Keeling]
Shave	Dig in the Grave	A quick shower and dig and I'll be ready to go.
Shiner (black eye)	Ocean Liner	I punched him right in the mincer and gave him an ocean liner [Thanks to a somewhat violent Claire Reed]
Shirt	Dicky Dirt	Put your dicky dirt on before the company gets here.
Shirt	Uncle Bert	I've got to press my uncle.
Shit	Brace and Bit	Just off or a brace [Thanks to P Loynd]
Shit	Brad Pitt	I right need a Brad Pitt [Thanks to Big Bill]
Shit	Eartha Kitt	I'm going for an Eartha [See also 'Tit' - Thanks to Peter Cotterell for this variation]
Shit	Tom Tit	I'm going for a Tom Tit. [Thanks to David Carruthers.]
Shite	Tom Kite	I’m off for a tom [Thanks to Denis Daly]
Shite	Turkish Delight	They’re playing completely Turkish today [Thanks to Paul Island]
Shite (shit)	Barry White	I need a Barry White [Thanks to Oli Hickman]
Shits (diarrhoea)	Two-Bob Bits	I’ve got a real case of the two-bob bits [Thanks to Steven Elder]
Shitter (rectum)	Council Gritter	When I sat down there was a pin on my chair! Right up the council! [Thanks to Uncle Custard. He reports that a council gritter is the machine that comes around and puts grit on icy roads]
